id,client_id,date,type,subject,result,next_action,next_action_date,description
1,3,2026-09-21 00:00:00,дзвінок,,,,2026-09-21 00:00:00,
2,4,2026-09-21 00:00:00,дзвінок,,,,2026-09-21 00:00:00,
